HH1,HH2,LN,CM11
364.0,9.0,2.0,5.0
364.0,9.0,3.0,0.0
364.0,9.0,4.0,1.0
364.0,10.0,1.0,0.0
364.0,11.0,3.0,0.0
364.0,11.0,4.0,
364.0,11.0,5.0,0.0
364.0,13.0,2.0,2.0
364.0,14.0,2.0,
364.0,17.0,2.0,4.0
364.0,18.0,2.0,1.0
364.0,19.0,1.0,0.0
364.0,20.0,1.0,2.0
365.0,1.0,2.0,3.0
365.0,3.0,2.0,2.0
365.0,5.0,2.0,3.0
365.0,5.0,7.0,0.0
365.0,6.0,2.0,5.0
365.0,6.0,3.0,
365.0,10.0,1.0,0.0
365.0,11.0,2.0,6.0
365.0,14.0,1.0,0.0
365.0,15.0,2.0,1.0
365.0,15.0,4.0,0.0
365.0,15.0,5.0,0.0
365.0,16.0,1.0,2.0
365.0,16.0,2.0,0.0
365.0,17.0,2.0,3.0
365.0,17.0,3.0,0.0
365.0,19.0,2.0,4.0
365.0,19.0,4.0,0.0
365.0,20.0,2.0,1.0
365.0,20.0,4.0,0.0
366.0,2.0,2.0,1.0
366.0,3.0,2.0,0.0
366.0,4.0,2.0,3.0
366.0,5.0,3.0,
366.0,8.0,2.0,4.0
366.0,9.0,2.0,2.0
366.0,11.0,2.0,3.0
366.0,13.0,1.0,5.0
366.0,17.0,1.0,
366.0,17.0,2.0,
366.0,17.0,3.0,0.0
366.0,18.0,2.0,3.0
366.0,18.0,4.0,6.0
366.0,19.0,1.0,4.0
366.0,20.0,2.0,2.0
366.0,20.0,3.0,0.0
367.0,2.0,2.0,4.0
367.0,2.0,3.0,0.0
367.0,4.0,2.0,
367.0,5.0,1.0,4.0
367.0,6.0,2.0,3.0
367.0,6.0,3.0,0.0
367.0,7.0,1.0,6.0
367.0,7.0,2.0,0.0
367.0,8.0,2.0,
367.0,8.0,3.0,0.0
367.0,8.0,4.0,
367.0,9.0,2.0,2.0
367.0,10.0,2.0,1.0
367.0,11.0,2.0,0.0
367.0,12.0,2.0,0.0
367.0,13.0,2.0,2.0
367.0,13.0,5.0,0.0
367.0,13.0,7.0,
367.0,13.0,8.0,0.0
367.0,15.0,2.0,0.0
367.0,15.0,3.0,
367.0,16.0,1.0,4.0
367.0,17.0,1.0,2.0
367.0,18.0,4.0,0.0
367.0,18.0,5.0,0.0
367.0,20.0,2.0,1.0
368.0,1.0,2.0,3.0
368.0,2.0,2.0,4.0
368.0,3.0,2.0,2.0
368.0,4.0,2.0,2.0
368.0,5.0,2.0,1.0
368.0,6.0,2.0,0.0
368.0,6.0,3.0,0.0
368.0,7.0,2.0,1.0
368.0,10.0,2.0,5.0
368.0,11.0,2.0,2.0
368.0,13.0,2.0,3.0
368.0,17.0,2.0,6.0
368.0,17.0,4.0,0.0
368.0,17.0,5.0,0.0
368.0,18.0,1.0,2.0
369.0,1.0,2.0,
369.0,3.0,2.0,
369.0,3.0,4.0,0.0
369.0,5.0,2.0,2.0
369.0,6.0,1.0,1.0
369.0,6.0,2.0,
369.0,7.0,1.0,1.0
369.0,9.0,2.0,2.0
369.0,9.0,6.0,1.0
369.0,11.0,3.0,
369.0,12.0,1.0,4.0
369.0,12.0,3.0,0.0
369.0,13.0,2.0,3.0
369.0,15.0,1.0,1.0
369.0,17.0,1.0,2.0
369.0,17.0,2.0,0.0
369.0,19.0,1.0,2.0
369.0,19.0,4.0,
370.0,2.0,3.0,0.0
370.0,2.0,6.0,0.0
370.0,3.0,2.0,2.0
370.0,8.0,2.0,2.0
370.0,10.0,1.0,4.0
370.0,10.0,2.0,0.0
370.0,11.0,1.0,0.0
370.0,13.0,4.0,0.0
370.0,13.0,6.0,0.0
370.0,14.0,2.0,5.0
370.0,14.0,4.0,0.0
370.0,14.0,6.0,0.0
370.0,15.0,2.0,3.0
370.0,16.0,2.0,
370.0,18.0,1.0,0.0
370.0,20.0,3.0,1.0
370.0,20.0,4.0,0.0
370.0,20.0,5.0,0.0
371.0,2.0,2.0,3.0
371.0,4.0,2.0,1.0
371.0,6.0,3.0,1.0
371.0,6.0,4.0,
371.0,6.0,5.0,0.0
371.0,6.0,6.0,0.0
371.0,6.0,7.0,0.0
371.0,6.0,9.0,0.0
371.0,7.0,1.0,4.0
371.0,7.0,5.0,1.0
371.0,8.0,1.0,0.0
371.0,9.0,2.0,
371.0,9.0,3.0,0.0
371.0,12.0,1.0,1.0
371.0,13.0,2.0,4.0
371.0,14.0,3.0,0.0
371.0,15.0,2.0,1.0
371.0,15.0,4.0,0.0
371.0,16.0,2.0,1.0
371.0,17.0,2.0,2.0
371.0,17.0,4.0,0.0
371.0,18.0,2.0,3.0
371.0,19.0,2.0,0.0
371.0,20.0,2.0,1.0
372.0,1.0,1.0,0.0
372.0,3.0,2.0,1.0
372.0,4.0,2.0,0.0
372.0,5.0,2.0,2.0
372.0,6.0,1.0,
372.0,6.0,2.0,0.0
372.0,7.0,2.0,3.0
372.0,8.0,2.0,3.0
372.0,9.0,2.0,3.0
372.0,13.0,1.0,0.0
372.0,14.0,1.0,0.0
372.0,15.0,2.0,2.0
372.0,17.0,1.0,0.0
372.0,20.0,2.0,3.0
372.0,20.0,5.0,0.0
373.0,1.0,2.0,
373.0,1.0,4.0,0.0
373.0,1.0,6.0,0.0
373.0,1.0,7.0,
373.0,2.0,1.0,4.0
373.0,2.0,4.0,1.0
373.0,3.0,3.0,0.0
373.0,3.0,4.0,0.0
373.0,3.0,6.0,0.0
373.0,4.0,2.0,1.0
373.0,5.0,2.0,2.0
373.0,6.0,2.0,4.0
373.0,6.0,3.0,
373.0,7.0,1.0,1.0
373.0,7.0,4.0,0.0
373.0,11.0,2.0,3.0
373.0,13.0,2.0,2.0
373.0,14.0,2.0,5.0
373.0,14.0,6.0,
373.0,15.0,1.0,3.0
373.0,15.0,2.0,0.0
373.0,16.0,1.0,0.0
373.0,17.0,2.0,2.0
373.0,17.0,5.0,0.0
373.0,18.0,1.0,5.0
373.0,18.0,2.0,0.0
373.0,19.0,1.0,0.0
373.0,20.0,2.0,4.0
374.0,2.0,2.0,2.0
374.0,3.0,2.0,2.0
374.0,3.0,4.0,0.0
374.0,3.0,6.0,1.0
374.0,5.0,4.0,0.0
374.0,6.0,2.0,3.0
374.0,7.0,1.0,0.0
374.0,8.0,3.0,0.0
374.0,8.0,4.0,0.0
374.0,9.0,2.0,
374.0,11.0,1.0,4.0
374.0,11.0,3.0,0.0
374.0,12.0,3.0,2.0
374.0,13.0,2.0,0.0
374.0,14.0,1.0,
374.0,17.0,1.0,2.0
374.0,18.0,2.0,0.0
374.0,20.0,2.0,0.0
375.0,1.0,2.0,0.0
375.0,2.0,1.0,0.0
375.0,4.0,2.0,4.0
375.0,5.0,2.0,1.0
375.0,6.0,2.0,2.0
375.0,8.0,1.0,
375.0,9.0,2.0,3.0
375.0,10.0,2.0,3.0
375.0,11.0,2.0,1.0
375.0,13.0,2.0,2.0
375.0,14.0,2.0,3.0
375.0,16.0,2.0,1.0
375.0,16.0,4.0,1.0
375.0,17.0,2.0,5.0
375.0,17.0,3.0,0.0
375.0,17.0,4.0,
375.0,18.0,1.0,7.0
375.0,18.0,2.0,0.0
375.0,20.0,2.0,8.0
376.0,1.0,2.0,4.0
376.0,3.0,2.0,3.0
376.0,3.0,3.0,0.0
376.0,5.0,2.0,5.0
376.0,6.0,1.0,2.0
376.0,7.0,2.0,2.0
376.0,8.0,2.0,1.0
376.0,9.0,2.0,2.0
376.0,11.0,2.0,2.0
376.0,13.0,2.0,4.0
376.0,15.0,2.0,3.0
376.0,19.0,1.0,2.0
377.0,1.0,2.0,4.0
377.0,2.0,2.0,5.0
377.0,2.0,6.0,0.0
377.0,3.0,1.0,0.0
377.0,7.0,1.0,2.0
377.0,9.0,2.0,1.0
377.0,10.0,2.0,0.0
377.0,11.0,2.0,4.0
377.0,11.0,5.0,0.0
377.0,12.0,2.0,5.0
377.0,12.0,3.0,1.0
377.0,13.0,1.0,6.0
377.0,14.0,1.0,1.0
377.0,15.0,2.0,4.0
377.0,15.0,3.0,0.0
377.0,15.0,7.0,0.0
377.0,16.0,2.0,0.0
377.0,17.0,2.0,5.0
378.0,1.0,2.0,1.0
378.0,2.0,2.0,0.0
378.0,3.0,2.0,4.0
378.0,4.0,3.0,0.0
378.0,6.0,2.0,3.0
378.0,6.0,3.0,0.0
378.0,7.0,1.0,1.0
378.0,8.0,3.0,0.0
378.0,8.0,6.0,0.0
378.0,10.0,2.0,1.0
378.0,11.0,2.0,1.0
378.0,12.0,1.0,0.0
378.0,15.0,3.0,0.0
378.0,16.0,1.0,7.0
378.0,16.0,3.0,0.0
378.0,16.0,4.0,0.0
378.0,17.0,2.0,0.0
378.0,17.0,3.0,0.0
378.0,19.0,2.0,4.0
378.0,20.0,2.0,6.0
379.0,1.0,1.0,0.0
379.0,1.0,2.0,1.0
379.0,3.0,2.0,2.0
379.0,4.0,2.0,1.0
379.0,4.0,4.0,0.0
379.0,5.0,1.0,2.0
379.0,6.0,2.0,7.0
379.0,6.0,3.0,0.0
379.0,6.0,4.0,0.0
379.0,6.0,5.0,0.0
379.0,8.0,1.0,3.0
379.0,8.0,2.0,0.0
379.0,9.0,2.0,1.0
379.0,10.0,2.0,3.0
379.0,11.0,2.0,2.0
379.0,13.0,2.0,4.0
379.0,14.0,1.0,1.0
379.0,15.0,2.0,5.0
379.0,15.0,4.0,0.0
379.0,16.0,2.0,2.0
379.0,17.0,2.0,2.0
379.0,18.0,2.0,1.0
379.0,19.0,2.0,2.0
379.0,20.0,4.0,1.0
380.0,1.0,2.0,1.0
380.0,2.0,2.0,1.0
380.0,3.0,2.0,6.0
380.0,4.0,2.0,2.0
380.0,6.0,3.0,0.0
380.0,6.0,10.0,0.0
380.0,6.0,12.0,1.0
380.0,7.0,6.0,0.0
380.0,7.0,8.0,
380.0,7.0,9.0,3.0
380.0,8.0,1.0,9.0
380.0,8.0,3.0,
380.0,8.0,4.0,0.0
380.0,8.0,5.0,0.0
380.0,9.0,2.0,3.0
380.0,10.0,2.0,7.0
380.0,10.0,3.0,2.0
380.0,10.0,5.0,2.0
380.0,10.0,6.0,0.0
380.0,11.0,2.0,7.0
380.0,11.0,10.0,6.0
380.0,11.0,17.0,1.0
380.0,11.0,20.0,3.0
380.0,13.0,2.0,1.0
380.0,15.0,2.0,1.0
380.0,16.0,2.0,5.0
380.0,16.0,3.0,
380.0,16.0,4.0,0.0
380.0,17.0,5.0,2.0
380.0,17.0,7.0,0.0
380.0,18.0,1.0,5.0
381.0,1.0,4.0,0.0
381.0,3.0,3.0,0.0
381.0,4.0,1.0,4.0
381.0,5.0,2.0,3.0
381.0,6.0,2.0,5.0
381.0,6.0,3.0,1.0
381.0,6.0,5.0,1.0
381.0,6.0,11.0,1.0
381.0,7.0,1.0,10.0
381.0,7.0,2.0,1.0
381.0,8.0,1.0,3.0
381.0,11.0,1.0,5.0
381.0,15.0,2.0,1.0
381.0,16.0,1.0,5.0
381.0,17.0,3.0,2.0
381.0,18.0,1.0,6.0
381.0,19.0,2.0,4.0
382.0,1.0,1.0,7.0
382.0,3.0,2.0,3.0
382.0,4.0,1.0,3.0
382.0,5.0,1.0,1.0
382.0,6.0,2.0,0.0
382.0,8.0,2.0,4.0
382.0,9.0,2.0,2.0
382.0,10.0,1.0,5.0
382.0,10.0,2.0,0.0
382.0,11.0,2.0,4.0
382.0,13.0,2.0,3.0
382.0,14.0,2.0,3.0
382.0,15.0,2.0,2.0
382.0,16.0,2.0,3.0
382.0,16.0,4.0,0.0
382.0,17.0,2.0,1.0
382.0,18.0,2.0,7.0
382.0,18.0,5.0,0.0
382.0,18.0,8.0,0.0
382.0,18.0,9.0,0.0
382.0,20.0,2.0,1.0
383.0,1.0,1.0,0.0
383.0,4.0,1.0,2.0
383.0,5.0,2.0,2.0
383.0,6.0,1.0,4.0
383.0,7.0,2.0,5.0
383.0,9.0,1.0,4.0
383.0,10.0,4.0,1.0
383.0,11.0,2.0,5.0
383.0,11.0,6.0,0.0
383.0,12.0,2.0,5.0
383.0,13.0,2.0,6.0
383.0,13.0,3.0,0.0
383.0,13.0,7.0,
383.0,14.0,2.0,4.0
383.0,14.0,3.0,0.0
383.0,15.0,2.0,3.0
383.0,16.0,2.0,3.0
383.0,16.0,3.0,0.0
383.0,19.0,2.0,1.0
383.0,20.0,2.0,2.0
384.0,3.0,2.0,2.0
384.0,3.0,5.0,0.0
384.0,6.0,2.0,0.0
384.0,6.0,3.0,0.0
384.0,7.0,2.0,0.0
384.0,11.0,1.0,1.0
384.0,13.0,2.0,0.0
384.0,13.0,3.0,0.0
384.0,15.0,2.0,4.0
384.0,20.0,1.0,0.0
385.0,1.0,1.0,1.0
385.0,4.0,2.0,1.0
385.0,5.0,2.0,2.0
385.0,6.0,2.0,7.0
385.0,6.0,3.0,0.0
385.0,7.0,2.0,5.0
385.0,7.0,3.0,0.0
385.0,7.0,10.0,0.0
385.0,10.0,2.0,3.0
385.0,10.0,3.0,0.0
385.0,11.0,2.0,5.0
385.0,11.0,8.0,0.0
385.0,12.0,2.0,2.0
385.0,13.0,2.0,4.0
385.0,14.0,2.0,4.0
385.0,15.0,2.0,5.0
385.0,15.0,3.0,0.0
385.0,18.0,2.0,1.0
385.0,19.0,2.0,1.0
385.0,20.0,1.0,1.0
386.0,3.0,2.0,1.0
386.0,7.0,1.0,1.0
386.0,9.0,2.0,2.0
386.0,13.0,2.0,8.0
386.0,14.0,2.0,1.0
386.0,15.0,2.0,5.0
386.0,17.0,2.0,5.0
386.0,18.0,2.0,1.0
386.0,18.0,4.0,0.0
386.0,19.0,2.0,4.0
386.0,20.0,1.0,4.0
386.0,20.0,2.0,0.0
387.0,1.0,2.0,1.0
387.0,2.0,2.0,0.0
387.0,3.0,2.0,6.0
387.0,3.0,3.0,0.0
387.0,4.0,1.0,1.0
387.0,5.0,2.0,4.0
387.0,6.0,2.0,3.0
387.0,7.0,1.0,1.0
387.0,8.0,2.0,2.0
387.0,10.0,2.0,1.0
387.0,11.0,3.0,0.0
387.0,11.0,6.0,0.0
387.0,11.0,7.0,0.0
387.0,12.0,2.0,4.0
387.0,12.0,3.0,0.0
387.0,13.0,2.0,2.0
387.0,14.0,2.0,4.0
387.0,15.0,2.0,0.0
387.0,16.0,1.0,2.0
387.0,16.0,5.0,0.0
387.0,17.0,1.0,2.0
387.0,19.0,2.0,3.0
387.0,20.0,2.0,5.0
387.0,20.0,3.0,0.0
387.0,20.0,5.0,0.0
388.0,1.0,2.0,4.0
388.0,3.0,2.0,2.0
388.0,3.0,3.0,0.0
388.0,4.0,1.0,4.0
388.0,5.0,2.0,0.0
388.0,6.0,2.0,3.0
388.0,7.0,1.0,1.0
388.0,8.0,2.0,3.0
388.0,10.0,2.0,1.0
388.0,11.0,2.0,1.0
388.0,12.0,2.0,2.0
388.0,13.0,1.0,0.0
388.0,14.0,2.0,3.0
388.0,16.0,2.0,5.0
388.0,16.0,3.0,0.0
388.0,17.0,2.0,3.0
388.0,17.0,3.0,0.0
388.0,17.0,5.0,0.0
388.0,18.0,3.0,0.0
388.0,19.0,1.0,3.0
388.0,20.0,2.0,6.0
388.0,20.0,3.0,0.0
389.0,1.0,2.0,1.0
389.0,2.0,2.0,1.0
389.0,3.0,3.0,0.0
389.0,3.0,4.0,0.0
389.0,4.0,3.0,1.0
389.0,4.0,4.0,0.0
389.0,4.0,5.0,0.0
389.0,6.0,2.0,4.0
389.0,7.0,2.0,4.0
389.0,7.0,4.0,0.0
389.0,7.0,5.0,0.0
389.0,8.0,3.0,0.0
389.0,9.0,1.0,4.0
389.0,10.0,2.0,3.0
389.0,10.0,5.0,1.0
389.0,10.0,7.0,3.0
389.0,10.0,8.0,
389.0,10.0,10.0,0.0
389.0,11.0,2.0,2.0
389.0,12.0,2.0,2.0
389.0,12.0,5.0,1.0
389.0,13.0,2.0,4.0
389.0,15.0,2.0,6.0
389.0,15.0,3.0,0.0
389.0,15.0,5.0,0.0
389.0,16.0,2.0,3.0
389.0,18.0,1.0,1.0
389.0,19.0,1.0,7.0
389.0,19.0,2.0,0.0
389.0,20.0,2.0,3.0
390.0,1.0,2.0,4.0
390.0,2.0,2.0,0.0
390.0,3.0,3.0,2.0
390.0,4.0,5.0,0.0
390.0,5.0,2.0,5.0
390.0,6.0,2.0,1.0
390.0,10.0,1.0,1.0
390.0,10.0,2.0,0.0
390.0,10.0,3.0,0.0
390.0,12.0,2.0,5.0
390.0,13.0,2.0,2.0
390.0,14.0,1.0,2.0
390.0,15.0,1.0,2.0
390.0,16.0,1.0,3.0
390.0,17.0,2.0,2.0
390.0,17.0,5.0,0.0
390.0,18.0,2.0,0.0
390.0,19.0,2.0,1.0
390.0,20.0,2.0,4.0
390.0,20.0,3.0,0.0
391.0,1.0,3.0,0.0
391.0,1.0,5.0,0.0
391.0,8.0,2.0,2.0
391.0,9.0,2.0,2.0
391.0,10.0,2.0,2.0
391.0,11.0,2.0,4.0
391.0,12.0,2.0,2.0
391.0,14.0,2.0,2.0
391.0,15.0,5.0,0.0
391.0,16.0,1.0,1.0
391.0,17.0,1.0,2.0
391.0,18.0,2.0,1.0
391.0,19.0,2.0,4.0
392.0,2.0,1.0,6.0
392.0,3.0,2.0,7.0
392.0,3.0,3.0,0.0
392.0,4.0,2.0,2.0
392.0,5.0,2.0,1.0
392.0,9.0,2.0,5.0
392.0,9.0,3.0,0.0
392.0,12.0,1.0,5.0
392.0,13.0,2.0,4.0
392.0,14.0,2.0,4.0
392.0,15.0,2.0,2.0
392.0,16.0,2.0,2.0
392.0,17.0,2.0,4.0
392.0,19.0,4.0,2.0
393.0,1.0,2.0,3.0
393.0,2.0,2.0,2.0
393.0,3.0,2.0,2.0
393.0,4.0,1.0,0.0
393.0,5.0,1.0,2.0
393.0,6.0,1.0,2.0
393.0,7.0,1.0,1.0
393.0,8.0,4.0,0.0
393.0,8.0,5.0,0.0
393.0,8.0,6.0,0.0
393.0,9.0,3.0,0.0
393.0,10.0,2.0,2.0
393.0,11.0,1.0,2.0
393.0,11.0,2.0,0.0
393.0,14.0,1.0,1.0
393.0,15.0,2.0,2.0
393.0,16.0,2.0,2.0
393.0,17.0,2.0,1.0
393.0,18.0,1.0,2.0
393.0,18.0,3.0,0.0
393.0,18.0,4.0,0.0
393.0,18.0,5.0,0.0
393.0,19.0,1.0,5.0
394.0,1.0,2.0,
394.0,1.0,5.0,0.0
394.0,2.0,2.0,1.0
394.0,3.0,4.0,0.0
394.0,4.0,2.0,3.0
394.0,5.0,2.0,2.0
394.0,6.0,2.0,2.0
394.0,7.0,2.0,2.0
394.0,8.0,1.0,0.0
394.0,8.0,2.0,2.0
394.0,9.0,1.0,1.0
394.0,9.0,2.0,0.0
394.0,11.0,1.0,0.0
394.0,12.0,2.0,5.0
394.0,12.0,3.0,0.0
394.0,13.0,2.0,7.0
394.0,13.0,3.0,0.0
394.0,14.0,3.0,3.0
394.0,14.0,5.0,0.0
394.0,14.0,6.0,0.0
394.0,14.0,8.0,0.0
394.0,17.0,3.0,0.0
394.0,18.0,2.0,1.0
394.0,20.0,2.0,3.0
395.0,1.0,2.0,3.0
395.0,3.0,1.0,4.0
395.0,3.0,4.0,1.0
395.0,5.0,2.0,7.0
395.0,5.0,3.0,0.0
395.0,5.0,4.0,0.0
395.0,5.0,5.0,0.0
395.0,8.0,1.0,1.0
395.0,9.0,2.0,4.0
395.0,10.0,2.0,2.0
395.0,12.0,1.0,0.0
395.0,13.0,2.0,5.0
395.0,13.0,3.0,0.0
395.0,14.0,2.0,6.0
395.0,14.0,3.0,2.0
395.0,14.0,4.0,0.0
395.0,15.0,1.0,1.0
395.0,16.0,2.0,4.0
395.0,17.0,1.0,0.0
395.0,19.0,2.0,3.0
395.0,20.0,1.0,1.0
396.0,1.0,2.0,3.0
396.0,1.0,4.0,0.0
396.0,2.0,2.0,4.0
396.0,3.0,2.0,4.0
396.0,3.0,7.0,0.0
396.0,3.0,8.0,0.0
396.0,4.0,2.0,3.0
396.0,5.0,2.0,2.0
396.0,6.0,1.0,1.0
396.0,7.0,2.0,1.0
396.0,8.0,2.0,1.0
396.0,9.0,1.0,2.0
396.0,13.0,2.0,2.0
396.0,14.0,2.0,1.0
396.0,15.0,2.0,5.0
396.0,17.0,1.0,1.0
396.0,18.0,1.0,1.0
397.0,1.0,2.0,4.0
397.0,2.0,2.0,2.0
397.0,3.0,2.0,2.0
397.0,4.0,1.0,1.0
397.0,5.0,2.0,1.0
397.0,8.0,1.0,2.0
397.0,9.0,1.0,0.0
397.0,12.0,2.0,3.0
397.0,13.0,1.0,2.0
397.0,13.0,2.0,0.0
397.0,13.0,3.0,0.0
397.0,14.0,1.0,2.0
397.0,15.0,2.0,3.0
397.0,18.0,2.0,1.0
397.0,19.0,1.0,2.0
398.0,1.0,3.0,1.0
398.0,1.0,4.0,0.0
398.0,2.0,2.0,2.0
398.0,3.0,1.0,4.0
398.0,4.0,2.0,2.0
398.0,5.0,1.0,3.0
398.0,8.0,1.0,0.0
398.0,10.0,2.0,1.0
398.0,10.0,3.0,0.0
398.0,11.0,2.0,1.0
398.0,13.0,2.0,2.0
398.0,13.0,5.0,0.0
398.0,13.0,6.0,0.0
398.0,14.0,2.0,4.0
398.0,14.0,7.0,0.0
398.0,15.0,2.0,2.0
398.0,17.0,1.0,2.0
398.0,17.0,3.0,0.0
398.0,17.0,4.0,0.0
398.0,18.0,1.0,5.0
398.0,18.0,2.0,0.0
398.0,18.0,3.0,0.0
398.0,18.0,4.0,0.0
398.0,19.0,2.0,2.0
398.0,20.0,2.0,1.0
399.0,1.0,3.0,2.0
399.0,3.0,3.0,0.0
399.0,4.0,2.0,2.0
399.0,6.0,2.0,4.0
399.0,7.0,2.0,3.0
399.0,7.0,3.0,0.0
399.0,9.0,2.0,2.0
399.0,12.0,2.0,3.0
399.0,13.0,2.0,2.0
399.0,15.0,2.0,0.0
399.0,17.0,2.0,2.0
399.0,19.0,2.0,3.0
399.0,19.0,7.0,0.0
399.0,19.0,8.0,0.0
400.0,1.0,3.0,0.0
400.0,2.0,2.0,2.0
400.0,4.0,1.0,2.0
400.0,6.0,1.0,0.0
400.0,7.0,2.0,0.0
400.0,8.0,2.0,5.0
400.0,9.0,1.0,0.0
400.0,11.0,2.0,4.0
400.0,11.0,7.0,0.0
400.0,12.0,1.0,2.0
400.0,14.0,2.0,2.0
400.0,15.0,2.0,2.0
400.0,16.0,1.0,0.0
400.0,17.0,2.0,0.0
400.0,17.0,3.0,1.0
400.0,19.0,2.0,3.0
400.0,20.0,1.0,2.0
400.0,20.0,3.0,0.0
401.0,1.0,1.0,3.0
401.0,3.0,2.0,3.0
401.0,3.0,3.0,0.0
401.0,4.0,1.0,1.0
401.0,5.0,1.0,2.0
401.0,6.0,2.0,2.0
401.0,7.0,1.0,1.0
401.0,8.0,1.0,1.0
401.0,9.0,1.0,1.0
401.0,12.0,2.0,1.0
401.0,13.0,2.0,6.0
401.0,14.0,2.0,1.0
401.0,14.0,4.0,0.0
401.0,16.0,2.0,2.0
401.0,16.0,5.0,0.0
401.0,17.0,1.0,5.0
401.0,17.0,2.0,0.0
401.0,19.0,2.0,3.0
402.0,1.0,5.0,0.0
402.0,2.0,2.0,1.0
402.0,3.0,2.0,1.0
402.0,4.0,2.0,1.0
402.0,5.0,2.0,1.0
402.0,6.0,1.0,3.0
402.0,6.0,3.0,1.0
402.0,7.0,2.0,3.0
402.0,7.0,3.0,0.0
402.0,7.0,4.0,0.0
402.0,8.0,2.0,3.0
402.0,9.0,1.0,1.0
402.0,10.0,2.0,2.0
402.0,11.0,2.0,2.0
402.0,13.0,2.0,2.0
402.0,14.0,2.0,3.0
402.0,14.0,6.0,0.0
402.0,15.0,7.0,0.0
402.0,17.0,2.0,2.0
402.0,18.0,3.0,0.0
402.0,19.0,2.0,5.0
402.0,19.0,4.0,0.0
403.0,1.0,2.0,6.0
403.0,1.0,9.0,0.0
403.0,2.0,2.0,1.0
403.0,3.0,2.0,8.0
403.0,3.0,3.0,0.0
403.0,3.0,4.0,0.0
403.0,3.0,5.0,0.0
403.0,4.0,2.0,2.0
403.0,4.0,5.0,0.0
403.0,5.0,1.0,4.0
403.0,5.0,4.0,0.0
403.0,5.0,5.0,1.0
403.0,8.0,2.0,5.0
403.0,9.0,3.0,0.0
403.0,10.0,4.0,0.0
403.0,12.0,2.0,3.0
403.0,12.0,6.0,0.0
403.0,13.0,2.0,1.0
403.0,15.0,1.0,1.0
403.0,15.0,4.0,0.0
403.0,16.0,2.0,3.0
403.0,16.0,6.0,0.0
403.0,17.0,1.0,
403.0,17.0,4.0,0.0
403.0,17.0,5.0,0.0
403.0,18.0,5.0,0.0
403.0,19.0,2.0,3.0
403.0,19.0,4.0,0.0
403.0,19.0,7.0,0.0
403.0,20.0,2.0,2.0
404.0,1.0,2.0,2.0
404.0,2.0,1.0,6.0
404.0,2.0,2.0,0.0
404.0,3.0,2.0,2.0
404.0,3.0,5.0,
404.0,4.0,2.0,2.0
404.0,6.0,2.0,3.0
404.0,6.0,6.0,
404.0,7.0,1.0,1.0
404.0,8.0,2.0,3.0
404.0,10.0,2.0,1.0
404.0,12.0,2.0,5.0
404.0,12.0,6.0,4.0
404.0,12.0,7.0,0.0
404.0,13.0,2.0,5.0
404.0,13.0,3.0,0.0
404.0,13.0,7.0,4.0
404.0,14.0,,
404.0,14.0,1.0,2.0
404.0,14.0,2.0,1.0
404.0,14.0,7.0,0.0
404.0,15.0,2.0,4.0
404.0,16.0,2.0,2.0
404.0,17.0,2.0,3.0
404.0,17.0,3.0,0.0
404.0,18.0,2.0,
404.0,18.0,4.0,
404.0,19.0,1.0,2.0
404.0,19.0,3.0,0.0
405.0,1.0,2.0,0.0
405.0,4.0,3.0,0.0
405.0,4.0,4.0,1.0
405.0,5.0,2.0,1.0
405.0,6.0,2.0,4.0
405.0,6.0,3.0,0.0
405.0,7.0,2.0,3.0
405.0,10.0,2.0,4.0
405.0,11.0,2.0,3.0
405.0,12.0,1.0,2.0
405.0,13.0,2.0,2.0
405.0,14.0,2.0,4.0
405.0,15.0,1.0,2.0
405.0,16.0,2.0,0.0
405.0,16.0,3.0,0.0
405.0,18.0,1.0,1.0
405.0,19.0,3.0,2.0
405.0,19.0,5.0,0.0
405.0,20.0,2.0,3.0
405.0,20.0,3.0,0.0
406.0,5.0,2.0,2.0
406.0,6.0,1.0,2.0
406.0,6.0,2.0,0.0
406.0,7.0,1.0,4.0
406.0,7.0,3.0,0.0
406.0,7.0,6.0,1.0
406.0,8.0,1.0,2.0
406.0,9.0,3.0,1.0
406.0,10.0,1.0,4.0
406.0,11.0,3.0,1.0
406.0,12.0,2.0,2.0
406.0,12.0,4.0,1.0
406.0,13.0,1.0,2.0
406.0,13.0,3.0,0.0
406.0,16.0,2.0,1.0
407.0,1.0,2.0,1.0
407.0,2.0,2.0,2.0
407.0,4.0,2.0,2.0
407.0,5.0,2.0,2.0
407.0,8.0,2.0,5.0
407.0,9.0,2.0,2.0
407.0,10.0,1.0,6.0
407.0,10.0,2.0,0.0
407.0,12.0,2.0,3.0
407.0,13.0,2.0,4.0
407.0,14.0,2.0,6.0
407.0,15.0,2.0,2.0
407.0,16.0,1.0,2.0
407.0,17.0,1.0,4.0
407.0,18.0,2.0,2.0
407.0,19.0,2.0,0.0
407.0,20.0,2.0,3.0
408.0,1.0,1.0,0.0
408.0,1.0,3.0,1.0
408.0,2.0,2.0,1.0
408.0,3.0,2.0,1.0
408.0,4.0,2.0,6.0
408.0,5.0,2.0,2.0
408.0,6.0,2.0,3.0
408.0,6.0,6.0,2.0
408.0,7.0,2.0,3.0
408.0,7.0,5.0,0.0
408.0,8.0,2.0,5.0
408.0,10.0,2.0,3.0
408.0,12.0,2.0,5.0
408.0,12.0,3.0,0.0
